Wall time,Step,Value
1619323371.976132,257700,346.0
1619323387.5149724,257800,346.0
1619323418.7092452,258000,368.0
1619323449.8128998,258200,374.0
1619323512.057871,258600,326.0
1619323574.4585044,259000,344.0
1619323683.7147067,259700,398.0
1619323917.7275221,261200,456.0
1619324447.435607,264600,502.0
1619324509.91202,265000,708.0
1619324541.1372478,265200,688.0
1619324619.0203505,265700,682.0
1619324759.3535225,266600,570.0
1619324946.5065877,267800,590.0
1619325102.0567462,268800,418.0
1619325132.9834664,269000,368.0
1619325164.072672,269200,358.0
1619325179.6681468,269300,358.0
1619325242.003091,269700,336.0
1619325288.911615,270000,348.0
1619325413.3003807,270800,464.0
1619325475.615469,271200,364.0
1619325693.7102485,272600,568.0
1619325787.229114,273200,496.0
1619325865.1605132,273700,468.0
1619325880.7182415,273800,638.0
1619325911.828983,274000,628.0
1619325958.1475813,274300,588.0
1619326019.7806664,274700,312.0
1619326035.2603512,274800,312.0
1619326143.5891256,275500,350.0
1619326189.962895,275800,400.0
1619326267.101595,276300,418.0
1619326560.3625662,278200,504.0
1619326714.7920098,279200,904.0
1619326807.513151,279800,392.0
1619326900.1624084,280400,732.0
1619326961.7596939,280800,864.0
1619327146.655683,282000,570.0
1619327162.1280794,282100,570.0
1619327548.521351,284600,458.0
1619327687.4107466,285500,516.0
1619327949.6841857,287200,430.0
1619328227.697957,289000,720.0
1619328243.1501746,289100,570.0
1619328273.8823733,289300,428.0
1619328428.4339952,290300,318.0
1619328490.205388,290700,376.0
1619328783.9397683,292600,622.0
1619328953.865238,293700,464.0
1619329077.5080292,294500,430.0
1619329170.24618,295100,570.0
1619329185.7170265,295200,570.0
1619329216.6558084,295400,640.0
1619329247.6952484,295600,504.0
1619329325.1745338,296100,598.0
1619329711.7150166,298600,554.0
1619329727.2288187,298700,426.0
1619329881.8956194,299700,350.0
1619329912.9773564,299900,384.0
1619329990.2404141,300400,386.0
1619330243.463779,301800,688.0
1619330336.2716193,302400,910.0
1619330475.4769125,303300,438.0
1619330707.9480631,304800,706.0
1619330769.7953963,305200,836.0
1619330800.70571,305400,686.0
1619331001.9890435,306700,450.0
1619331187.8850405,307900,548.0
1619331373.7789774,309100,688.0
1619331528.217264,310100,510.0
1619331621.1939018,310700,744.0
1619331884.1970806,312400,384.0
1619331976.9328992,313000,506.0
1619331992.2813632,313100,430.0
1619332116.3115034,313900,354.0
1619332208.9961472,314500,286.0
1619332301.9626882,315100,592.0
1619332379.361529,315600,814.0
1619332735.539926,317900,396.0
1619332843.7827702,318600,338.0
1619332921.3128412,319100,448.0
1619333122.1244876,320400,852.0
1619333230.2788265,321100,532.0
1619333462.1966949,322600,490.0
1619333647.80554,323800,624.0
1619333694.3958294,324100,504.0
1619333911.420105,325500,594.0
1619333926.8883219,325600,586.0
1619333957.814411,325800,716.0
1619334453.2094724,329000,438.0
1619334468.8067772,329100,358.0
1619334484.3713408,329200,358.0
1619334592.8252156,329900,566.0
1619334763.3500803,331000,452.0
1619334994.7977912,332500,622.0
1619335072.2594123,333000,662.0
1619335537.9883697,336000,412.0
1619335740.5259132,337300,386.0
1619335880.5171936,338200,734.0
1619336020.2561643,339100,346.0
1619336113.7175913,339700,404.0
1619336175.8356879,340100,540.0
1619336440.5265234,341800,392.0
1619336471.7013977,342000,392.0
1619336487.2407959,342100,778.0
1619336673.922886,343300,592.0
1619336954.3555975,345100,472.0
1619337219.2160633,346800,580.0
1619337343.7472785,347600,316.0
1619337701.9091182,349900,604.0
1619337878.8527484,350800,466.0
1619337910.0878408,351000,418.0
1619337941.261598,351200,384.0
1619338003.595355,351600,416.0
1619338019.1606607,351700,384.0
1619338190.6539838,352800,438.0
1619338237.363235,353100,498.0
1619338362.641052,353900,470.0
1619338409.3973262,354200,578.0
1619338549.5902774,355100,736.0
1619338783.0735683,356600,390.0
1619338845.434703,357000,374.0
1619338876.658657,357200,388.0
1619339110.337818,358700,438.0
1619339312.8084388,360000,374.0
1619339671.4786437,362300,466.0
1619339904.9344726,363800,550.0
1619339920.5959458,363900,550.0
1619340029.3311834,364600,584.0
1619340107.0616057,365100,398.0
1619340184.9148133,365600,422.0
1619340247.1688783,366000,446.0
1619340278.3263981,366200,436.0
1619340527.1225526,367800,422.0
1619340807.5280406,369600,696.0
1619340823.142873,369700,616.0
1619340932.3560417,370400,672.0
1619340978.8994954,370700,652.0
1619341352.7785819,373100,524.0
1619341399.4658601,373400,408.0
1619341508.419594,374100,438.0
1619341555.1055253,374400,442.0
1619341570.5313132,374500,484.0
1619341601.8785343,374700,416.0
1619341617.3954937,374800,354.0
1619342007.383011,377300,506.0
1619342147.502097,378200,372.0
1619342521.6768515,380600,362.0
1619342646.1875963,381400,380.0
1619342864.226498,382800,484.0
1619342879.7642949,382900,484.0
1619342957.7495668,383400,520.0
1619343144.8021226,384600,482.0
1619343596.3109784,387500,452.0
1619343627.4079885,387700,442.0
1619343658.5582576,387900,516.0
1619343782.8567936,388700,558.0
1619344047.6706424,390400,406.0
1619344125.7269666,390900,316.0
1619344468.148522,393100,408.0
1619344514.7767963,393400,490.0
1619344592.7870002,393900,564.0
1619344764.3475804,395000,324.0
1619344795.643385,395200,372.0
1619344889.0074508,395800,428.0
1619344904.6552145,395900,576.0
1619344998.2566671,396500,638.0
1619345107.4367933,397200,652.0
1619345200.8233337,397800,292.0
1619345247.7550085,398100,234.0
1619345512.8869567,399800,712.0
1619345733.9896472,401000,354.0
1619345780.7318294,401300,412.0
1619345889.9031723,402000,574.0
1619346139.1875575,403600,334.0
1619346170.2639809,403800,334.0
1619346263.9484704,404400,604.0
1619346326.2084615,404800,860.0
1619346575.383801,406400,522.0
1619346840.4464262,408100,490.0
1619347151.9828393,410100,528.0
1619347432.463129,411900,488.0
1619347463.8154585,412100,508.0
1619347494.889841,412300,448.0
1619347541.580624,412600,296.0
1619347588.2731314,412900,384.0
1619347853.2561893,414600,410.0
1619348024.5517075,415700,450.0
1619348040.0898652,415800,450.0
1619348242.802154,417100,504.0
1619348710.169128,420100,480.0
1619348741.393022,420300,456.0
1619349115.742804,422700,556.0
1619349177.7733696,423100,576.0
1619349208.8749309,423300,578.0
1619349302.4872634,423900,606.0
1619349349.2417731,424200,458.0
1619349380.4043791,424400,458.0
1619349520.5858736,425300,530.0
1619349629.8455625,426000,444.0
1619349832.5699935,427300,352.0
1619349957.3071,428100,504.0
1619350159.9778788,429400,534.0
1619350191.0639365,429600,550.0
1619350237.798421,429900,466.0
1619350424.5947645,431100,446.0
1619350486.9837992,431500,416.0
1619350565.0301185,432000,334.0
1619350596.2196646,432200,382.0
1619350751.8356686,433200,328.0
1619350814.3237097,433600,352.0
1619351266.3736048,436500,614.0
1619351344.6135387,437000,370.0
1619351453.6003006,437700,436.0
1619351858.869838,440300,470.0
1619351983.3666768,441100,492.0
1619352139.131848,442100,496.0
1619352263.5149465,442900,376.0
1619352372.6205742,443600,306.0
1619352434.9574068,444000,408.0
1619352606.4197123,445100,480.0
1619352700.367833,445700,444.0
1619352793.8725479,446300,386.0
1619353136.8087142,448500,416.0
1619353308.3739119,449600,680.0
1619353386.2632775,450100,668.0
1619353565.8554442,451000,340.0
1619353581.470257,451100,340.0
1619353768.1741264,452300,440.0
1619353939.5276046,453400,520.0
1619353986.3650627,453700,526.0
1619354142.2004852,454700,498.0
1619354874.5109463,459400,500.0
1619354952.6082861,459900,420.0
1619354968.1420937,460000,372.0
1619355124.0528045,461000,496.0
1619356261.554338,468300,482.0
1619356433.3481402,469400,326.0
1619356448.899117,469500,326.0
1619356480.0538163,469700,332.0
1619356511.3886256,469900,414.0
1619356558.1195066,470200,478.0
1619356573.791545,470300,478.0
1619356963.7777598,472800,530.0
1619357041.8223913,473300,686.0
1619357088.56186,473600,732.0
1619357213.2015822,474400,650.0
1619357384.4273636,475500,562.0
1619357524.635821,476400,476.0
1619357571.311861,476700,654.0
1619357586.8089008,476800,654.0
1619357820.5488365,478300,618.0
1619358069.8407786,479900,548.0
1619358163.322549,480500,580.0
1619358225.7653518,480900,596.0
1619358365.9549627,481800,404.0
1619358397.1736062,482000,392.0
1619358537.2752876,482900,502.0
1619358599.636212,483300,488.0
1619358693.033344,483900,434.0
1619358770.7768137,484400,360.0
1619359175.9054716,487000,590.0
1619359315.9030702,487900,584.0
1619359549.0275674,489400,270.0
1619359657.817294,490100,424.0
1619359751.419356,490700,366.0
1619359813.725058,491100,396.0
1619359829.327889,491200,396.0
1619360125.6134827,493100,378.0
1619360172.4668937,493400,504.0
1619360265.7280352,494000,712.0
1619360733.0954018,497000,626.0
1619360826.638578,497600,542.0
1619360888.8881018,498000,652.0
1619360935.651504,498300,528.0
1619361060.3425212,499100,260.0
1619361091.5121648,499300,284.0
1619361397.6079128,501000,440.0
1619361413.1552668,501100,440.0
1619361708.8026156,503000,526.0
1619361724.4890885,503100,526.0
1619361771.048473,503400,518.0
1619361910.8638458,504300,350.0
1619362035.4990811,505100,494.0
1619362066.6246402,505300,472.0
1619362082.2896123,505400,472.0
1619362471.0994248,507900,338.0
1619362517.9377396,508200,396.0
1619362688.8673992,509300,838.0
1619362735.4931753,509600,702.0
1619362766.7041981,509800,686.0
1619362797.8116055,510000,616.0
1619362984.7695508,511200,360.0
1619363249.5511148,512900,722.0
1619363577.362967,515000,604.0
1619363686.5594015,515700,444.0
1619363811.10381,516500,380.0
1619363873.1807163,516900,490.0
1619363981.8192139,517600,482.0
1619363997.3777761,517700,418.0
1619364012.9372013,517800,418.0
1619364168.1852944,518800,582.0
1619364572.3473692,521400,272.0
1619364650.0732327,521900,330.0
1619364899.046135,523500,744.0
1619364976.7796857,524000,564.0
1619365070.0561001,524600,476.0
1619365132.1566792,525000,402.0
1619365147.8280377,525100,402.0
1619365272.083876,525900,396.0
1619365318.693727,526200,380.0
1619365334.0972588,526300,380.0
1619365365.2489052,526500,438.0
1619365412.0150998,526800,754.0
1619365552.194222,527700,954.0
1619365614.6617985,528100,618.0
